method	uri	name	middleware
GET|HEAD	/	login	web,Illuminate\Auth\Middleware\RedirectIfAuthenticated
GET|HEAD	admin/accounting-operations/assets	admin.accounting-operations.assets.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:assets.view
POST	admin/accounting-operations/assets	admin.accounting-operations.assets.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:assets.manage
GET|HEAD	admin/accounting-operations/branding	admin.accounting-operations.branding.edit	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:documents.branding.manage
PATCH	admin/accounting-operations/branding	admin.accounting-operations.branding.update	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:documents.branding.manage
GET|HEAD	admin/accounting-operations/documents/{type}/{id}/pdf	admin.accounting-operations.documents.pdf	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:operation_documents.download
GET|HEAD	admin/accounting-operations/documents/{type}/{id}/spreadsheet	admin.accounting-operations.documents.spreadsheet	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:operation_documents.download
GET|HEAD	admin/accounting-operations/purchase-returns	admin.accounting-operations.purchase-returns.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:purchase_returns.view
POST	admin/accounting-operations/purchase-returns	admin.accounting-operations.purchase-returns.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:purchase_returns.create
GET|HEAD	admin/accounting-operations/purchase-returns/create	admin.accounting-operations.purchase-returns.create	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:purchase_returns.create
GET|HEAD	admin/accounting-operations/receipts	admin.accounting-operations.receipts.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:receipts.view
POST	admin/accounting-operations/receipts	admin.accounting-operations.receipts.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:receipts.create
GET|HEAD	admin/accounting-operations/receipts/create	admin.accounting-operations.receipts.create	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:receipts.create
